"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:36:10.741Z","277ACAC128203005","0","91","9328","1136615","2","5","1137122","0e","211","d31677912df5cc0e001159e2001157de93289302001157de481f9302001157de01ba9302001157e7481f3302001157e701ba1601001157e793285b02ffffff","2021-04-05T17:48:08.741Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:21.105Z","277ACAC128203005","0","51","01BA","1136625","2","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:48.105Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:25.406Z","277ACAC128203005","0","51","01BA","1136625","2","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:52.406Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:30.105Z","277ACAC128203005","0","147","481F","1136634","2","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:48.105Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:34.406Z","277ACAC128203005","0","147","481F","1136634","2","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:52.406Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:39.105Z","277ACAC128203005","0","22","01BA","1136643","1","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:48.105Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:39.664Z","277ACAC128203005","0","51","9328","1136643","2","24","1137122","0e","5","051677912df5cc0e001159e200115803932833020011580d01ba1a020011580d93289302001158169328930200115816481f93020011581601ba9302ffffff","2021-04-05T17:44:43.664Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:43.406Z","277ACAC128203005","0","22","01BA","1136643","1","25","1137122","0e","10","0a1677912df5cc0e001159e2001157f101ba3302001157fa01ba7602001157fa93289302001157fa481f930200115803481f1a020011580301ba1601ffffff","2021-04-05T17:44:52.406Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:49.664Z","277ACAC128203005","0","147","9328","1136653","2","24","1137122","0e","5","051677912df5cc0e001159e200115803932833020011580d01ba1a020011580d93289302001158169328930200115816481f93020011581601ba9302ffffff","2021-04-05T17:44:43.664Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:36:58.664Z","277ACAC128203005","0","147","01BA","1136662","2","24","1137122","0e","5","051677912df5cc0e001159e200115803932833020011580d01ba1a020011580d93289302001158169328930200115816481f93020011581601ba9302ffffff","2021-04-05T17:44:43.664Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:10.280Z","277ACAC128203005","0","51","9328","1136671","2","4","1137177","0e","148","941677912df5cc0e00115a190011581f01ba16010011581f481f33020011581f932833020011582901ba760200115832481f93020011583201ba7602ffffff","2021-04-05T17:48:04.280Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:20.280Z","277ACAC128203005","0","118","01BA","1136681","2","4","1137177","0e","148","941677912df5cc0e00115a190011581f01ba16010011581f481f33020011581f932833020011582901ba760200115832481f93020011583201ba7602ffffff","2021-04-05T17:48:04.280Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:29.280Z","277ACAC128203005","0","118","01BA","1136690","2","4","1137177","0e","148","941677912df5cc0e00115a190011581f01ba16010011581f481f33020011581f932833020011582901ba760200115832481f93020011583201ba7602ffffff","2021-04-05T17:48:04.280Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:35.760Z","277ACAC128203005","0","51","9328","1136700","2","3","1137177","0e","143","8f1677912df5cc0e00115a190011583c481f33020011583c01ba16010011583c932833020011584501ba76020011584e932893020011584e481f9302ffffff","2021-04-05T17:47:55.760Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:44.760Z","277ACAC128203005","0","118","01BA","1136709","2","3","1137177","0e","143","8f1677912df5cc0e00115a190011583c481f33020011583c01ba16010011583c932833020011584501ba76020011584e932893020011584e481f9302ffffff","2021-04-05T17:47:55.760Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:37:53.760Z","277ACAC128203005","0","147","481F","1136718","2","3","1137177","0e","143","8f1677912df5cc0e00115a190011583c481f33020011583c01ba16010011583c932833020011584501ba76020011584e932893020011584e481f9302ffffff","2021-04-05T17:47:55.760Z","HELIUM","14"
