,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
130,0,118,01BA,0,3,635,487
132,0,118,01BA,0,3,611,468
134,0,118,01BA,0,2,597,459
136,0,26,01BA,0,2,578,440
137,0,147,01BA,0,2,569,431
140,0,26,01BA,0,2,538,471
145,1,22,01BA,2,2,588,545
151,0,26,01BA,1,0,508,508
153,1,22,01BA,2,2,528,490
155,0,26,01BA,2,2,514,481
158,1,22,01BA,2,2,495,462
164,0,147,01BA,1,1,439,416
168,0,147,01BA,1,1,407,389
173,0,147,01BA,1,1,374,361
178,0,51,01BA,1,0,352,344
181,1,22,01BA,1,0,333,325
191,0,26,01BA,0,2,334,234
193,1,22,01BA,1,3,581,326
198,0,51,01BA,2,3,625,370
199,1,22,01BA,0,2,312,216
200,0,118,01BA,0,3,562,307
204,0,91,01BA,2,3,616,361
209,0,51,01BA,2,3,598,343
215,0,51,01BA,0,3,511,285
216,1,22,01BA,0,3,497,276
220,1,22,01BA,0,3,460,248
224,1,22,01BA,0,2,423,339
230,0,51,01BA,2,2,465,423
234,0,51,01BA,1,1,428,396
237,1,22,01BA,1,1,404,377
240,1,22,01BA,1,1,372,350
242,0,118,01BA,1,1,354,341
243,0,118,01BA,1,1,354,341
247,1,22,01BA,1,1,335,322
248,1,22,01BA,1,1,335,322
255,0,118,01BA,2,0,332,332
261,0,51,01BA,2,3,542,287
271,0,51,01BA,3,2,248,214
274,1,22,01BA,3,1,220,196
278,1,22,01BA,3,1,188,169
283,1,22,01BA,3,1,155,141
288,0,51,01BA,2,0,110,106
293,0,51,01BA,1,3,309,131
299,0,118,01BA,0,3,262,94
300,0,147,01BA,0,2,428,288
303,0,51,01BA,0,2,405,270
306,1,22,01BA,0,2,381,309
307,0,26,01BA,0,2,372,300
308,0,147,01BA,0,2,362,290
311,1,22,01BA,0,0,341,341
313,0,147,01BA,0,3,703,536
315,0,26,01BA,0,3,694,527
318,0,26,01BA,1,0,364,364
321,0,147,01BA,2,2,403,355
322,0,147,01BA,0,3,663,509
324,1,22,01BA,2,2,394,346
325,0,26,01BA,2,2,379,336
326,0,147,01BA,2,2,370,327
328,1,22,01BA,2,2,361,318
330,0,118,01BA,2,2,338,300
334,0,147,01BA,2,1,300,272
335,1,22,01BA,2,1,291,263
338,0,26,01BA,1,1,259,236
343,0,26,01BA,1,1,226,208
344,0,147,01BA,1,1,212,199
346,0,53,01BA,1,0,189,181
348,1,22,01BA,1,0,166,163
350,0,26,01BA,1,0,156,153
352,1,22,01BA,0,3,433,190
354,0,147,01BA,0,3,414,171
359,1,22,01BA,3,1,162,135
360,0,26,01BA,3,1,148,125
365,0,118,01BA,3,1,116,98
